mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,SecondChance,LocalAllocation,5,0,13000,{'interleave': 'trace-order'},0.013
shared,0,sample_trace,SecondChance,LocalAllocation,5,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,SecondChance,LocalAllocation,5,0,3700,{'interleave': 'trace-order'},0.0037
shared_total,,trace-driven,SecondChance,LocalAllocation,5,1,11400,{'interleave': 'trace-order'},0.0114
shared,0,sample_trace,SecondChance,LocalAllocation,5,1,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,SecondChance,LocalAllocation,5,1,3300,{'interleave': 'trace-order'},0.0033
shared_total,,trace-driven,SecondChance,ProportionalAllocation,5,0,11000,{'interleave': 'trace-order'},0.011
shared,0,sample_trace,SecondChance,ProportionalAllocation,5,0,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,SecondChance,ProportionalAllocation,5,0,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,SecondChance,ProportionalAllocation,5,1,9400,{'interleave': 'trace-order'},0.0094
shared,0,sample_trace,SecondChance,ProportionalAllocation,5,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,SecondChance,ProportionalAllocation,5,1,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,WSClock,GlobalAllocation,5,0,13600,{'interleave': 'trace-order'},0.0136
shared,0,sample_trace,WSClock,GlobalAllocation,5,0,3800,{'interleave': 'trace-order'},0.0038
shared,1,sample_trace,WSClock,GlobalAllocation,5,0,4100,{'interleave': 'trace-order'},0.0041
shared_total,,trace-driven,WSClock,GlobalAllocation,5,1,11700,{'interleave': 'trace-order'},0.0117
shared,0,sample_trace,WSClock,GlobalAllocation,5,1,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,WSClock,GlobalAllocation,5,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,WSClock,LocalAllocation,5,0,13200,{'interleave': 'trace-order'},0.0132
shared,0,sample_trace,WSClock,LocalAllocation,5,0,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,WSClock,LocalAllocation,5,0,4600,{'interleave': 'trace-order'},0.0046
shared_total,,trace-driven,WSClock,LocalAllocation,5,1,11100,{'interleave': 'trace-order'},0.0111
shared,0,sample_trace,WSClock,LocalAllocation,5,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,WSClock,LocalAllocation,5,1,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,WSClock,ProportionalAllocation,5,0,10400,{'interleave': 'trace-order'},0.0104
shared,0,sample_trace,WSClock,ProportionalAllocation,5,0,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,WSClock,ProportionalAllocation,5,0,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,WSClock,ProportionalAllocation,5,1,9100,{'interleave': 'trace-order'},0.0091
shared,0,sample_trace,WSClock,ProportionalAllocation,5,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,WSClock,ProportionalAllocation,5,1,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,FIFO,GlobalAllocation,6,0,13300,{'interleave': 'trace-order'},0.0133
shared,0,sample_trace,FIFO,GlobalAllocation,6,0,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,FIFO,GlobalAllocation,6,0,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,FIFO,GlobalAllocation,6,1,11100,{'interleave': 'trace-order'},0.0111
shared,0,sample_trace,FIFO,GlobalAllocation,6,1,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,FIFO,GlobalAllocation,6,1,3600,{'interleave': 'trace-order'},0.0036
shared_total,,trace-driven,FIFO,LocalAllocation,6,0,11800,{'interleave': 'trace-order'},0.0118
shared,0,sample_trace,FIFO,LocalAllocation,6,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,FIFO,LocalAllocation,6,0,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,FIFO,LocalAllocation,6,1,9000,{'interleave': 'trace-order'},0.009
shared,0,sample_trace,FIFO,LocalAllocation,6,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,FIFO,LocalAllocation,6,1,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,FIFO,ProportionalAllocation,6,0,10800,{'interleave': 'trace-order'},0.0108
shared,0,sample_trace,FIFO,ProportionalAllocation,6,0,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,ProportionalAllocation,6,0,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,FIFO,ProportionalAllocation,6,1,8600,{'interleave': 'trace-order'},0.0086
shared,0,sample_trace,FIFO,ProportionalAllocation,6,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,FIFO,ProportionalAllocation,6,1,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,LRU,GlobalAllocation,6,0,17800,{'interleave': 'trace-order'},0.0178
shared,0,sample_trace,LRU,GlobalAllocation,6,0,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,LRU,GlobalAllocation,6,0,4300,{'interleave': 'trace-order'},0.0043
shared_total,,trace-driven,LRU,GlobalAllocation,6,1,12500,{'interleave': 'trace-order'},0.0125
shared,0,sample_trace,LRU,GlobalAllocation,6,1,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,LRU,GlobalAllocation,6,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,LRU,LocalAllocation,6,0,12200,{'interleave': 'trace-order'},0.0122
shared,0,sample_trace,LRU,LocalAllocation,6,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,LRU,LocalAllocation,6,0,2900,{'interleave': 'trace-order'},0.0029
shared_total,,trace-driven,LRU,LocalAllocation,6,1,9800,{'interleave': 'trace-order'},0.0098
shared,0,sample_trace,LRU,LocalAllocation,6,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,LRU,LocalAllocation,6,1,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,LRU,ProportionalAllocation,6,0,10800,{'interleave': 'trace-order'},0.0108
shared,0,sample_trace,LRU,ProportionalAllocation,6,0,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,LRU,ProportionalAllocation,6,0,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,LRU,ProportionalAllocation,6,1,9200,{'interleave': 'trace-order'},0.0092
shared,0,sample_trace,LRU,ProportionalAllocation,6,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,LRU,ProportionalAllocation,6,1,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,NRU,GlobalAllocation,6,0,14400,{'interleave': 'trace-order'},0.0144
shared,0,sample_trace,NRU,GlobalAllocation,6,0,4700,{'interleave': 'trace-order'},0.0047
shared,1,sample_trace,NRU,GlobalAllocation,6,0,4100,{'interleave': 'trace-order'},0.0041
shared_total,,trace-driven,NRU,GlobalAllocation,6,1,11400,{'interleave': 'trace-order'},0.0114
shared,0,sample_trace,NRU,GlobalAllocation,6,1,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,NRU,GlobalAllocation,6,1,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,NRU,LocalAllocation,6,0,12200,{'interleave': 'trace-order'},0.0122
shared,0,sample_trace,NRU,LocalAllocation,6,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,NRU,LocalAllocation,6,0,2800,{'interleave': 'trace-order'},0.0028
shared_total,,trace-driven,NRU,LocalAllocation,6,1,8600,{'interleave': 'trace-order'},0.0086
shared,0,sample_trace,NRU,LocalAllocation,6,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,NRU,LocalAllocation,6,1,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,NRU,ProportionalAllocation,6,0,10300,{'interleave': 'trace-order'},0.0103
shared,0,sample_trace,NRU,ProportionalAllocation,6,0,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,NRU,ProportionalAllocation,6,0,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,NRU,ProportionalAllocation,6,1,9500,{'interleave': 'trace-order'},0.0095
shared,0,sample_trace,NRU,ProportionalAllocation,6,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,NRU,ProportionalAllocation,6,1,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,SecondChance,GlobalAllocation,6,0,15200,{'interleave': 'trace-order'},0.0152
shared,0,sample_trace,SecondChance,GlobalAllocation,6,0,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,SecondChance,GlobalAllocation,6,0,4500,{'interleave': 'trace-order'},0.0045
shared_total,,trace-driven,SecondChance,GlobalAllocation,6,1,12100,{'interleave': 'trace-order'},0.0121
shared,0,sample_trace,SecondChance,GlobalAllocation,6,1,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,SecondChance,GlobalAllocation,6,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,SecondChance,LocalAllocation,6,0,12100,{'interleave': 'trace-order'},0.0121
shared,0,sample_trace,SecondChance,LocalAllocation,6,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,SecondChance,LocalAllocation,6,0,2700,{'interleave': 'trace-order'},0.0027
shared_total,,trace-driven,SecondChance,LocalAllocation,6,1,9000,{'interleave': 'trace-order'},0.009
shared,0,sample_trace,SecondChance,LocalAllocation,6,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,SecondChance,LocalAllocation,6,1,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,SecondChance,ProportionalAllocation,6,0,10400,{'interleave': 'trace-order'},0.0104
shared,0,sample_trace,SecondChance,ProportionalAllocation,6,0,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,SecondChance,ProportionalAllocation,6,0,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,SecondChance,ProportionalAllocation,6,1,8900,{'interleave': 'trace-order'},0.0089
shared,0,sample_trace,SecondChance,ProportionalAllocation,6,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,SecondChance,ProportionalAllocation,6,1,2200,{'interleave': 'trace-order'},0.0022
