mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared,0,sample_trace,WSClock,LocalAllocation,5,0,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,WSClock,LocalAllocation,5,0,4600,{'interleave': 'trace-order'},0.0046
shared_total,,trace-driven,WSClock,LocalAllocation,5,1,10700,{'interleave': 'trace-order'},0.0107
shared,0,sample_trace,WSClock,LocalAllocation,5,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,WSClock,LocalAllocation,5,1,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,WSClock,ProportionalAllocation,5,0,13400,{'interleave': 'trace-order'},0.0134
shared,0,sample_trace,WSClock,ProportionalAllocation,5,0,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,WSClock,ProportionalAllocation,5,0,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,WSClock,ProportionalAllocation,5,1,9400,{'interleave': 'trace-order'},0.0094
shared,0,sample_trace,WSClock,ProportionalAllocation,5,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,WSClock,ProportionalAllocation,5,1,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,FIFO,GlobalAllocation,6,0,20600,{'interleave': 'trace-order'},0.0206
shared,0,sample_trace,FIFO,GlobalAllocation,6,0,5800,{'interleave': 'trace-order'},0.0058
shared,1,sample_trace,FIFO,GlobalAllocation,6,0,6400,{'interleave': 'trace-order'},0.0064
shared_total,,trace-driven,FIFO,GlobalAllocation,6,1,17300,{'interleave': 'trace-order'},0.0173
shared,0,sample_trace,FIFO,GlobalAllocation,6,1,5100,{'interleave': 'trace-order'},0.0051
shared,1,sample_trace,FIFO,GlobalAllocation,6,1,6100,{'interleave': 'trace-order'},0.0061
shared_total,,trace-driven,FIFO,LocalAllocation,6,0,18100,{'interleave': 'trace-order'},0.0181
shared,0,sample_trace,FIFO,LocalAllocation,6,0,5400,{'interleave': 'trace-order'},0.0054
shared,1,sample_trace,FIFO,LocalAllocation,6,0,4400,{'interleave': 'trace-order'},0.0044
shared_total,,trace-driven,FIFO,LocalAllocation,6,1,15900,{'interleave': 'trace-order'},0.0159
shared,0,sample_trace,FIFO,LocalAllocation,6,1,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,FIFO,LocalAllocation,6,1,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,FIFO,ProportionalAllocation,6,0,18100,{'interleave': 'trace-order'},0.0181
shared,0,sample_trace,FIFO,ProportionalAllocation,6,0,4800,{'interleave': 'trace-order'},0.0048
