source_file,trial,workload_kind,workload_label,trace_name,algorithm,allocation_policy,total_frames,process_count,page_faults,page_replacements,disk_reads,disk_writes,total_disk_io,page_fault_rate,runtime_ms,throughput,worst_case_slowdown,mean_slowdown,aggregate_wss,memory_ratio_to_wss,slowdown_mean,slowdown_median,fairness_jains_index,fairness_variance,fairness_cv,fairness_max_ratio,fairness_mean,fairness_std,fairness_min,fairness_max,outlier_flag
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,4,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,441.0,205.0,441.0,145.0,586.0,0.0735,2.1177,2833262.501770789,2.0230069555912253,2.009558553836706,300.0,0.7866666666666666,2.009558553836706,2.0146444573521096,0.9999470141510808,0.0002820741889623845,0.007237884370414647,1.018665539457564,2.009558553836706,0.014544952448247755,1.9859383450513792,2.0230069555912253,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,5,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,486.0,250.0,486.0,164.0,650.0,0.081,2.1055,2849679.4110662546,2.105464480874317,1.7661729660344836,284.0,0.8309859154929577,1.7661729660344836,1.968890568178413,0.8970118453021887,0.25154217845199145,0.24592507223783758,2.061258227978436,1.7661729660344836,0.43434621425654624,1.0214462469067913,2.105464480874317,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,6,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,455.0,219.0,455.0,148.0,603.0,0.07583333333333334,2.063,2908385.84585555,2.0390667390124797,1.96948989603203,286.0,0.8251748251748252,1.96948989603203,1.9501145496114893,0.9995876113030712,0.0022267025049546216,0.020749516121614967,1.0517897924962678,1.96948989603203,0.04086596234907439,1.9386637458926617,2.0390667390124797,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,7,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,440.0,204.0,440.0,137.0,577.0,0.07333333333333333,2.1387,2805442.5585636133,2.0733590733590734,2.0187411895629275,289.0,0.8166089965397924,2.018741189562927,2.014220148032298,0.9996640161081822,0.0018454200700057967,0.01842882335220625,1.050778148196966,2.0187411895629275,0.037203024776277904,1.9731653888280394,2.0733590733590734,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,8,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,477.0,241.0,477.0,159.0,636.0,0.0795,2.1042,2851439.97718848,2.0533405172413794,1.9736014994726867,300.0,0.7866666666666666,1.9736014994726867,1.9891750908819281,0.9986941679690549,0.006482729574731165,0.03533052720052801,1.1023372806729625,1.9736014994726867,0.06972838146012263,1.8627152988855116,2.0533405172413794,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,9,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,495.0,259.0,495.0,185.0,680.0,0.0825,2.1272,2820609.251598345,2.1042600896860986,2.0434361550563667,310.0,0.7612903225806451,2.0434361550563667,2.0455602072221906,0.9992630493074965,0.00409774013181326,0.027129498457539106,1.0636364016951605,2.0434361550563667,0.05543739801668134,1.9783641160949867,2.1042600896860986,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,0,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,405.0,110.0,405.0,89.0,494.0,0.0675,2.1162,2835270.768358378,2.0377155172413794,1.967128628429501,294.0,1.0034013605442176,1.967128628429501,1.9696775731046223,0.9992789326309595,0.0036891098749896583,0.026739831604075927,1.0773333382079107,1.967128628429501,0.0526006882677617,1.8914438502673796,2.0377155172413794,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,1,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,417.0,122.0,417.0,103.0,520.0,0.0695,2.052,2923976.6081871344,1.9327501366867141,1.8997782017527598,291.0,1.013745704467354,1.8997782017527598,1.8971561647374116,0.999870064744818,0.000630142716171005,0.011443192182995712,1.0324242326783093,1.8997782017527598,0.021739527067722832,1.8720503408495017,1.9327501366867141,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,2,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,414.0,119.0,414.0,98.0,512.0,0.069,2.0454,2933411.557641537,1.9501108647450112,1.921263065790836,297.0,0.9932659932659933,1.921263065790836,1.9231715360292503,0.9998246195727591,0.0008607885873010186,0.013224889373954832,1.032570471723196,1.921263065790836,0.02540849150334911,1.8885983263598327,1.9501108647450112,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,3,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,362.0,69.0,362.0,54.0,416.0,0.060333333333333336,2.0063,2990579.6740268157,1.9302702702702703,1.774962458095274,305.0,0.9672131147540983,1.774962458095274,1.8595221151025223,0.9853898733085812,0.049258882131237774,0.10828884854663216,1.3307295781166464,1.774962458095274,0.19220864080063707,1.4505353319057817,1.9302702702702703,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,4,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,383.0,88.0,383.0,76.0,459.0,0.06383333333333334,2.2392,2679528.403001072,2.1030534351145036,2.006162184567942,300.0,0.9833333333333333,2.006162184567942,2.0010677866461664,0.9989513296878677,0.005700621040860661,0.032593100633982956,1.0956486361203785,2.006162184567942,0.06538704596971402,1.9194597298649325,2.1030534351145036,False
